keyword,tweet
gojek,gojek emg makin hari makin biadab waktu  abis parade masa gw di halte balai ada yang cancel alesan JAUH padahal posisinya di MUI anjg
gojek,"BlezzedGainz_ on insta (udh terima order ya , bisa lewat dm insta (X slowresp 🙏🏻) (Follow our insta acc and get disc 10% through dm orders (shipping can be through gojek drivers) , promo hanya berlaku bulan ini , tyy https://t.co/ivgN7WTsJU"
gojek,"Jahat kamu, asal foto org sembarangan.
itu kan fasilitas umum yg bsa dipergunakan oleh siapa aja.
Nder smua yg kamu foto itu, org-org yg lagi berjuang utk menghidupi keluarganya.
Kalau memang kmu merasa terganggu bisa kamu pakai gojek online.
Please belajar utk rendah hati."
gojek,"bacanya gue sedih dah, padahal sama-sama lagi berjuang cari rezeki ya. Kalau udah berlebihan pasti juga bakal ditegur sama satpam disitu, terus masalah bau kak sekarang ada yang namanya masker? atau kalau mau nyaman ada grab atau gojek?"
gojek,@BisKota_ @dmwsdq Lagian di palmerah ada gojek pickup point….oiya dah ilang thread aslinya 🤣
gojek,Sehat sehat bapak! Semoga rejeki berlimpahhh. Oh iya buat sender ga usah banyak gaya mending lu pake taxi sono atau ga gojek minimal
gojek,@ainurohman @AdjiPermana Tikor gojek dong plss
gojek,"@adnardn Padahal lu bisa DM twitter ke gojek tentang keluh kesah, tanpa perlu di sebarin data pribadi si bapak driver. 

Terkadang memanusiakan manusia lebih baik."
gojek,"hallo!! aku masih open nokos ridi banyak yak, gojek, grab, wa, shopee, tokopedia yukk sung ke tele/ wa fastrespon yak✨ #zonauang"
gojek,"@treacheoruz eh tp cape bgt motor ke ketintang tuhh, gojek aja jirrr, bnrn klo gak well prepared secape itu coyyyy, blm lagi ktemu berbagai macam kendaraan"
gojek,"@cherriesboyd @Ordinaryjhonny Sama! Wkwk maklum msh kaum menengah jadi kalau mau jajan compare dulu trs tiap app tergantung promonya sih, kdg lebih murah di grab, kdg gojek, kdg shopee"
